ENCODERREADING,PICK_ENCODERREADING,ANGLE,TORQUE,Message
0.585,0,3980.4,1.492,WX11D690NN6C
0.655,-0.002,4092.5,1.494,WX11D690NY7V
0.627,0,4083.3,1.493,WX11D690NY96
0.603,-0.004,3983,1.492,WX11D690NF25
0.599,-0.004,3994.2,1.494,WX21D696ZVR5
0.722,-0.001,4225.8,1.494,WX21D696Z684
0.57,-0.004,4004.4,1.499,WX11D690N0U5
0.726,-0.003,4251.4,1.491,WX11D690NP3P
0.618,-0.001,4064.5,1.494,WX11D690NN4N
0.638,-0.003,4050.9,1.496,WX21D696ZTVF
0.711,-0.002,4251.1,1.492,WX21D696ZCFK
0.647,-0.002,4138.5,1.496,WX11D690N3HC
0.703,-0.001,4173.4,1.495,WX11D690NU6S
0.743,-0.004,4250.5,1.496,WX21D696Z2KC
0.612,-0.003,4057.2,1.495,WX11D690NVY8
0.73,0,4281.8,1.493,WX11D690N6F2
0.673,0,4130,1.495,WX11D690NUR3
0.697,0,4171.3,1.495,WX21D696Z622
0.6,-0.004,4023.6,1.496,WX21D696ZFKY
0.634,-0.003,4078.4,1.499,WX21D696ZX0Y
0.748,-0.001,4252.9,1.493,WX21D696ZS9R
0.774,-0.003,4256.8,1.494,WX21D696ZYFZ
0.62,0,4068.5,1.493,WX21D696ZHTP
0.642,-0.003,4096.8,1.495,WX21D696Z26P
0.735,-0.002,4209.1,1.488,WX11D690NFAA
0.724,0,4252.2,1.498,WX11D690NYT5
0.57,0,3965.9,1.494,WX11D690N24L
0.622,0,4053.8,1.496,WX11D690NACV
0.693,-0.003,4267.3,1.495,WX11D690NZJU
0.661,0,4137,1.494,WX11D690NHUR
0.675,-0.002,4158.4,1.494,WX11D690N99X
0.621,0,4045.6,1.495,WX11D690NYPY
1.429,0,4310.3,1.498,WX11D690N6EN
0.611,-0.002,4060.9,1.498,WX11D690ND0T
0.69,-0.008,4195.6,1.494,WX11D690N307
1.406,-0.002,4344.5,1.494,WX11D690N6FX
0.7,-0.002,4189.1,1.493,WX11D690NRU7
0.653,0,4110.4,1.498,WX11D690NJJZ
0.666,0,4166.7,1.494,WX11D690NHX7
0.599,0,3994.3,1.495,WX11D690NKJ0
0.669,0,4124,1.496,WX11D690NYNR
0.749,-0.002,4276.1,1.489,WX11D690NA3N
0.617,-0.003,4038.8,1.498,WX11D690N128
0.68,-0.002,4109.5,1.493,WX11D690N8VJ
0.679,-0.002,4212.2,1.492,WX21D696Z3RY
0.592,-0.001,3989.7,1.498,WX11D690N4S3
0.697,0,4210.4,1.498,WX11D690NCVK
0.675,-0.002,4180.5,1.496,WX11D690NY3H
0.613,-0.003,4026.6,1.496,WX11D690NXRT
0.672,-0.003,4129.8,1.498,WX11D690N9DC
0.724,-0.007,4272.1,1.494,WX21D696ZZ9Z
0.715,-0.001,4263.2,1.496,WX11D690NXH3
0.636,-0.002,4036.5,1.493,WX11D690NT2R
0.684,0,4138.6,1.493,WX21D696Z619
0.691,-0.002,4189.3,1.496,WX11D690N79N
0.739,0,4268.9,1.493,WX11D69LJ2VT
0.616,0,4012.1,1.495,WX11D69LJD39
0.754,0,4292.1,1.495,WX11D690N559
0.693,-0.001,4180.8,1.493,WX11D690NYS4
0.637,-0.002,4054.8,1.494,WX11D690N1XA
0.624,-0.006,4046.7,1.493,WX11D690N5NL
0.725,-0.001,4215.1,1.493,WX11D690NCUK
0.708,-0.001,4169.4,1.495,WX11D690NHEL
0.696,-0.002,4199.7,1.493,WX11D690N62H
0.621,-0.003,4066.9,1.491,WX11D690N08H
0.655,0,4115.2,1.493,WX11D690NE52
0.762,0,4287.4,1.494,WX11D690NJ60
0.691,0,4204,1.493,WX11D690NL1V
0.596,0,3978.9,1.491,WX11D690N5RX
0.592,0,3967.3,1.498,WX11D690NLSN
1.437,-0.003,4317,1.492,WX11D690N764
0.763,0,4320.5,1.494,WX11D690NA01
0.742,0,4312,1.493,WX11D690NK07
0.731,0,4251.3,1.492,WX21D696ZLL6
0.77,0,4344.8,1.494,WX21D696ZXDV
1.386,0,4313,1.49,WX21D696ZK34
0.633,0,4066.4,1.493,WX21D696ZL8L
0.747,0,4300,1.494,WX21D696Z0HK
0.706,0,4196,1.494,WX21D696Z5NC
0.697,0,4243.2,1.495,WX21D696ZPKN
0.631,0,4078.7,1.493,WX21D696ZKKJ
0.583,0,3976.2,1.495,WX11D690NUVT
0.75,0,4248.2,1.492,WX11D690NU40
0.891,-0.002,4134.3,1.492,WX11D690NRLD
0.982,-0.005,3937.9,1.493,WX11D690NNZ5
0.638,0,4083.5,1.496,WX11D690NSEY
0.647,0,4043.3,1.49,WX11D690NAK7
0.691,-0.001,4178.5,1.496,WX11D690N1PL
0.713,0,4166.4,1.49,WX11D690NKSD
0.632,0,4038.7,1.495,WX11D690N4SC
0.706,-0.008,4176.5,1.493,WX11D690NR7Z
0.586,-0.008,3991.2,1.492,WX11D690N9L1
0.748,-0.006,4264.4,1.489,WX11D690NJEN
0.593,-0.001,3979.6,1.499,WX11D690ND7P
0.727,0,4236.5,1.493,WX11D690N913
0.581,-0.005,3999,1.498,WX11D690NA42
0.631,-0.004,4013.9,1.49,WX11D690NVYK
0.637,0,4080.6,1.493,WX11D690NED9
0.615,-0.003,4044.5,1.495,WX11D690N8FE
0.658,-0.002,4124.9,1.496,WX11D690NA8J
0.745,-0.001,4288,1.498,WX11D690N4R4
0.638,-0.001,4057.2,1.494,WX11D690NP5L
1.39,-0.002,4323.1,1.495,WX11D690N875
0.725,-0.001,4292.5,1.496,WX11D690NR35
0.613,-0.001,4040.5,1.498,WX11D690NSCV
0.75,-0.002,4275.2,1.498,WX11D690NRJ3
0.698,-0.001,4230.5,1.496,WX11D690NX71
0.654,0,4128.2,1.498,WX11D690N7NP
0.603,-0.005,3992.6,1.493,WX11D690NLZC
0.71,-0.003,4230.4,1.488,WX11D690NJ9X
0.668,-0.002,4142.5,1.498,WX11D690N428
0.613,0,4007.6,1.496,WX11D690N8LC
0.724,-0.001,4248.1,1.495,WX21D696ZNV2
0.656,-0.002,4149.2,1.494,WX21D696Z6YU
0.719,0,4236.3,1.498,WX21D696ZUZH
0.584,0,3998.4,1.496,WX21D696ZN68
0.663,0,4183.8,1.493,WX21D696ZN2Y
0.663,0,4119.4,1.498,WX21D696Z6Y9
0.752,0,4252.7,1.491,WX21D696ZNV3
0.674,0,4158,1.493,WX21D696ZX7C
0.649,-0.002,4077.6,1.493,WX21D696ZCKK
0.727,0,4227.2,1.494,WX11D690N2Y4
0.6,0,3980.4,1.493,WX11D690NYE0
0.574,0,3968.5,1.491,WX11D690NLDP
0.723,0,4226.7,1.499,WX11D690NY34
0.698,0,4211,1.498,WX11D690NV4D
0.691,0,4210.8,1.499,WX11D690NR2F
0.685,0,4155.5,1.496,WX11D690NJ6C
